2014Q3,"Citizens Bancshares, Inc.",4093226,8,0,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"44,497","3,664","48,161","9,788","22,911","30,697","208,069","57,081",911,"3,057",0,"402,139",0,"45,578",0,"1,299","6,360","1,288.00",0,"2,498.00",515.00,"4,522","19,581.00",0,"119,881","509,154",0,"675,727",91,"117,379","119,881","57,949","402,139","57,081","119,881","119,881",0,0,484,"11,095","52,183","23,904",0,0,0,NA,NA,NA,"117,379",0,0,480,"11,012","51,806","23,848",0,0,0,NA,NA,NA,"7,102",0,0,0,"63,152",0,0,"1,990","60,444"
2014Q3,"Citizens Bank Holding, Inc.",1021382,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,20,0,0,1,1,0,0,0,0,0,0,0,"63,063","12,576","75,639","14,971","25,877","37,432","172,616","121,029",394,"4,718",0,"327,004",0,60,0,"16,079","5,078","1,201.00",0,"2,438.00",435.00,"4,109","37,350.00","1,617","116,313","468,890",0,"660,290",0,"95,860","97,017","90,610","327,004","121,029","116,313","97,017",0,"6,651",0,"4,868","18,719","33,248",0,0,0,NA,NA,NA,"95,860",0,"6,651",0,"4,921","18,388","32,953",0,0,0,NA,NA,NA,"12,807","5,149",0,0,"80,441",7,0,0,"81,956"
2014Q3,"Citizens Bankshares, Inc.",1016598,0,0,0,0,0,0,0,21,0,4,11,0,0,0,0,0,0,70,0,0,0,0,0,0,0,2,0,2,5,0,0,0,0,0,0,50,"74,588","1,178","75,766","6,791","4,684","4,054","55,251","48,283","1,828","11,570",0,"146,628",0,879,0,203,"5,244","1,685.00",0,"1,820.00",435.00,"3,962","9,761.00","14,985","454,624","207,563",0,"731,271",246,"258,876","257,106","82,557","146,628","48,283","454,624","257,106",0,"10,866","16,217","12,435","79,584","67,820",0,0,561,NA,NA,NA,"258,876",0,"10,799","17,034","12,145","79,091","68,472",0,0,589,NA,NA,NA,"3,493",0,0,0,"66,411",1,0,"1,722","67,134"
2014Q3,"Citizens Community Bancorp, Inc.",4091023,171,42,213,0,0,0,0,0,0,0,117,0,0,0,0,0,0,0,72,1,73,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,"233,842","2,283","236,125","1,691","2,134","14,790","5,606","4,353",917,"202,974",0,"261,880",0,"1,723",0,0,"5,039","1,014.00",0,"2,139.00",917.00,"4,702","6,572.00",46,"70,974","470,930",0,"569,815",-18,"63,637","62,189","237,816","261,880","4,353","70,974","62,189",0,"8,404","13,699","4,995","19,919","3,913",0,0,0,NA,NA,NA,"63,637",0,"8,636","14,439","5,056","20,054","3,949",0,0,0,NA,NA,NA,"6,506","3,634",456,0,"57,293",0,0,0,"57,518"
2014Q3,"Citizens Financial Group, Inc.",1019881,"13,221","22,994","36,215","19,995",37,"3,518","1,594","11,220",0,"14,673","46,177",26,0,88,0,0,0,"9,287","2,447","10,562","13,009","4,170",732,557,"2,743","6,621",0,"1,714","11,395",0,0,0,0,0,0,"1,900","13,597,006","2,671,358","16,268,364","16,138,181","1,441,034","624,980","7,971,986","24,335,227","1,761,671","16,758,964","3,930,695","42,444,594","34,193",0,0,"3,468,525","822,484","339,822.00","8,211","411,690.00","135,512.00","810,339","2,188,407.00",0,"23,938,508","90,972,198","557,722","131,520,691",-19,"18,536,591","18,649,474","32,406,545","42,444,594","24,335,227","23,938,508","18,649,474","15,020",0,0,"2,553,754","12,608,619","782,932",0,0,"1,948,428",NA,NA,NA,"18,536,591","15,012",0,0,"2,521,767","12,481,528","762,013",0,0,"1,990,379",NA,NA,NA,"1,201,253",0,0,0,"19,382,724",0,0,"383,000","13,329,658"
2014Q3,"Citizens Financial Services, Inc.",100691,0,0,0,0,0,0,38,30,0,0,15,0,0,0,0,0,0,11,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,6,"201,102","23,128","224,230","11,587","4,960","5,473","141,454","42,326","1,380","8,763",0,"418,303",0,"9,983",0,"65,133","7,574","1,682.00",0,"2,790.00",399.00,"5,067","6,565.00",0,"308,282","544,508",0,"913,045",242,"304,335","308,282","235,817","418,303","42,326","308,282","308,282","11,530",0,"146,484","5,736","21,188","4,144",0,0,"2,914",NA,NA,NA,"304,335","11,873",0,"146,993","5,714","20,890","4,067",0,0,"2,909",NA,NA,NA,"6,816",0,0,0,"99,160",0,0,"2,860","90,007"
2014Q3,Citizens Holding Company,1018141,38,0,38,0,41,0,0,"2,028",0,1,36,0,0,0,0,0,0,0,53,0,53,0,1,0,56,3,0,3,13,0,0,0,0,0,0,0,"90,048",869,"90,917","11,684","36,608","12,493","134,014","40,738",990,"25,228",0,"314,359",0,"1,164",0,"7,757","7,070","1,985.00",0,"3,185.00","1,360.00","6,373","14,869.00",0,"406,651","389,246",0,"889,893",6,"201,179","200,390","102,601","314,359","40,738","406,651","200,390",0,0,"89,952","14,835",0,0,0,0,0,NA,NA,NA,"201,179",0,0,"93,994","13,946",0,0,0,0,0,NA,NA,NA,"6,727","11,320",0,0,"79,594",0,0,"1,073","87,013"
2014Q3,Citizens National Banc Corp.,4090761,0,0,0,81,0,0,0,2,0,0,11,0,0,0,0,0,0,0,0,2,2,4,1,0,5,3,0,0,0,0,0,0,0,0,0,0,"173,639","5,368","179,007","65,125","47,155","16,054","293,107","97,664",267,"27,329",470,"603,222",0,854,0,348,"9,404","3,583.00",0,"5,472.00","1,029.00","9,423","10,369.00",502,"287,769","729,887",0,"1,085,391",133,"90,803","91,345","244,132","603,222","97,664","287,769","91,345",0,0,"39,807","14,248","21,436","11,127",0,0,0,NA,NA,NA,"90,803",0,0,"40,000","14,128","20,533","11,457",0,0,0,NA,NA,NA,"10,687",0,0,0,"112,407",0,0,"1,327","115,769"
2014Q3,"Citizens National Bancorp, Inc.",1022058,21,0,21,0,129,0,146,0,0,0,14,0,0,0,0,0,0,0,8,0,8,0,8,0,841,20,0,0,6,0,0,0,0,0,0,0,"80,546","2,332","82,878","14,455","31,015","5,745","159,998","25,736",0,"8,540",594,"298,745",0,397,0,234,"4,166",860.00,0,"2,157.00",290.00,"3,666","29,609.00","2,500","130,598","334,246",0,"519,031",18,"130,895","130,598","97,333","298,745","25,736","130,598","130,598",0,0,"47,523",2,"27,107",0,0,"19,257","1,940",NA,NA,NA,"130,895",0,0,"47,901",2,"27,272",0,0,"19,235","1,945",NA,NA,NA,"7,307",429,84,0,"58,530",0,0,652,"58,723"
2014Q3,"Citizens National Bancshares of Bossier, Inc.",1024832,20,200,220,0,0,99,0,25,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,2,1,0,0,3,0,0,0,0,0,0,0,"115,246","9,620","124,866","23,461","100,747","9,436","176,995","82,964",451,"13,726",0,"440,808",0,0,0,"11,936","7,831","1,432.00",33,"3,616.00",609.00,"5,884","8,666.00",0,"163,462","549,434","5,215","786,488",148,"162,731","163,462","148,327","440,808","82,964","163,462","163,462",0,0,"6,441","3,484","69,868","25,965",0,0,0,NA,NA,NA,"162,731",0,0,"6,671","3,430","69,673","26,223",0,0,0,NA,NA,NA,"4,881","4,034",0,0,"87,954",0,0,0,"81,541"
2014Q3,Citizens National Corporation,1017880,44,-1,43,25,0,0,0,0,0,0,3,0,0,0,0,0,0,13,1,0,1,4,0,0,0,20,0,0,1,0,0,0,0,0,0,2,"101,536","1,302","102,838","12,775","11,645","5,157","87,388","15,960",582,"32,055",0,"219,803",0,0,0,"3,290","3,895","1,365.00",0,"1,955.00",508.00,"4,325","9,300.00","9,000","163,875","271,108",0,"514,488",19,"161,856","163,875","115,613","219,803","15,960","163,875","163,875",0,0,"5,838",443,"44,203","60,244",0,0,0,NA,NA,NA,"161,856",0,0,"5,999",428,"43,906","60,359",0,0,0,NA,NA,NA,"3,637","3,240",862,0,"56,969",294,0,200,"39,168"
2014Q3,"Citizens Union Bancorp of Shelbyville, Inc.",1018472,56,13,69,0,0,0,5,3,0,0,2,0,0,0,0,0,0,0,2,1,3,0,130,2,6,1,0,0,3,0,0,0,0,0,0,0,"114,069","4,911","118,980","23,841","52,939","80,548","98,060","28,241",662,"4,815",0,"421,532",0,"4,224",0,"7,570","5,830","1,866.00",0,"2,987.00",748.00,"5,723","24,794.00","23,996","63,969","466,382",0,"637,266",-1,"61,456","61,889","142,821","421,532","28,241","63,969","61,889",0,"17,084","5,302",783,"32,941",62,0,0,0,NA,NA,NA,"61,456",0,"16,974","5,501",763,"32,607",59,0,0,0,NA,NA,NA,"8,134","7,051","7,051",0,"58,530",0,0,0,"47,768"
2014Q3,City Holding Company,100199,454,16,470,126,260,0,595,139,0,0,48,0,0,0,0,0,0,579,30,9,39,3,0,0,2,10,0,0,40,0,0,0,0,0,0,202,"1,188,987","44,101","1,233,088","260,635","47,301","82,766","767,804","168,242","1,675","39,925",0,"2,394,225",0,"1,520",0,"26,116","29,546","14,382.00",0,"13,168.00","3,865.00","24,243","48,407.00",0,"343,570","2,630,028",0,"3,385,542",70,"250,194","250,481","1,493,723","2,394,225","168,242","343,570","250,481",0,6,"1,938","5,027","94,674","82,325",0,"1,271",0,NA,NA,NA,"250,194",0,6,"1,918","4,915","93,236","84,038",0,"1,281",0,NA,NA,NA,"20,487","36,653","3,131",0,"391,672","11,171",0,"6,171","317,215"
2014Q3,City National Corporation,100225,0,0,0,0,0,0,0,"3,230",0,0,442,177,0,0,0,0,0,0,16,8,24,29,"10,212",0,226,"3,696",0,0,210,3,0,0,0,0,0,0,"5,052,888","7,537","5,060,425","757,555","605,864","615,196","3,414,301","6,927,382","293,912","707,667","623,602","10,479,800","718,317",0,0,"443,935","215,776","107,985.00","2,531","142,440.00","22,498.00","228,326","625,183.00","200,000","9,079,727","19,900,703","125,910","32,015,600",-68,"5,641,894","5,629,176","5,817,980","10,479,800","6,927,382","9,079,727","5,629,176","46,766","31,027","1,295,700","14,664","56,824","3,157,256",0,"35,487","401,822",NA,NA,NA,"5,641,894","46,716","30,860","1,299,031","13,970","57,272","3,182,072",0,"34,750","401,594",NA,NA,NA,"322,071","215,951",0,847,"2,899,429",0,"4,093","18,336","1,992,927"
2014Q3,"Citywide Banks of Colorado, Inc.",1017090,0,19,19,0,0,0,0,246,0,0,10,0,0,0,0,0,0,0,0,35,35,1,0,0,0,24,0,0,1,0,0,0,0,0,0,0,"69,560","3,205","72,765","21,783","114,778","25,179","395,575","148,317",597,"2,357",0,"631,007",0,0,0,"25,705","10,957","1,550.00",0,"6,094.00",977.00,"9,619","124,194.00",0,"253,073","807,386",0,"1,264,723",0,"244,776","244,719","94,548","631,007","148,317","253,073","244,719",0,0,"121,677","74,605","1,017",0,0,"10,069",0,NA,NA,NA,"244,776",0,0,"122,104","74,626","1,014",0,0,"10,059",0,NA,NA,NA,"16,427","10,283","6,099",0,"91,372",0,0,0,"84,806"
2014Q3,"Clayton Bancorp, Inc",4086221,29,0,29,55,496,0,214,54,0,16,304,0,0,0,0,0,0,0,2,0,2,1,2,0,15,32,0,0,26,0,70,0,0,0,0,1,"128,873","5,852","134,725","2,931","87,586","6,829","239,166","193,218","2,698","102,471",0,"479,644",0,"5,697",0,"2,145","12,159","2,700.00",0,"3,705.00",570.00,"5,876","17,085.00","8,171","89,540","783,175",0,"978,430",0,"68,644","71,037","137,656","479,644","193,218","89,540","71,037",0,11,0,"4,496","27,614","20,719",0,0,0,NA,NA,NA,"68,644",0,11,0,"4,338","26,656","20,467",0,0,0,NA,NA,NA,"24,471",645,0,0,"196,065",0,0,0,"184,787"
2014Q3,Clifton Bancorp Inc.,4088092,176,0,176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"546,057","3,417","549,474","2,405",301,"34,326","33,044",0,0,654,0,"619,550",0,0,0,70,"6,591",344.00,0,"2,415.00",517.00,"4,513","31,406.00",0,"454,595","620,274",0,"1,211,748",102,"14,171","14,194","551,879","619,550",0,"454,595","14,194",0,0,"4,997",0,"9,197",0,0,0,0,NA,NA,NA,"14,171",0,0,"5,000",0,"9,171",0,0,0,0,NA,NA,NA,"3,250","4,235",NA,0,"357,693",0,0,"1,518",NA
2014Q3,"Clinton Financial Services, MHC",4092220,5,0,5,0,108,0,0,0,0,0,49,0,0,0,0,0,0,0,32,0,32,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,"170,709","4,930","175,639","14,149","22,676","8,171","103,122","21,206",305,"12,020",0,"324,541",0,0,0,0,"3,975",535.00,0,"1,972.00",393.00,"3,372","2,569.00",0,"88,724","357,767",0,"480,145",84,"87,111","88,724","189,788","324,541","21,206","88,724","88,724",0,0,"6,755","6,074","46,953",0,0,0,0,NA,NA,NA,"87,111",0,0,"6,993","5,999","46,840",0,0,0,0,NA,NA,NA,"3,756","2,252",878,0,"39,605",0,0,0,"37,441"
2014Q3,"CM Florida Holdings, Inc.",4222741,449,0,449,0,0,0,2,0,0,0,0,0,0,0,0,0,0,13,0,0,0,22,34,0,94,44,0,0,20,0,0,0,0,0,0,11,"747,209",131,"747,340","92,649","282,594","250,800","1,218,133","599,150","8,862","26,849",0,"2,591,516",0,0,0,"56,896","37,904","3,641.00",31,"13,147.00","3,396.00","26,061","165,197.00","72,250","1,068,839","3,274,411","1,353","5,113,439",0,"803,015","804,555","839,989","2,591,516","599,150","1,068,839","804,555",0,"26,218","30,010","40,940","397,863","182,432",0,0,0,NA,NA,NA,"803,015",0,"26,037","30,000","40,187","400,431","181,398",0,0,0,NA,NA,NA,"47,442","169,728","144,728",5,"959,982",0,0,0,"593,245"
2014Q3,"CNB Bancshares, Inc.",1018294,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,17,0,0,0,0,1,0,83,0,0,7,7,0,0,0,0,0,0,3,"123,609","1,204","124,813","28,849","59,473","11,198","323,714","41,679","1,449","4,242",98,"549,137",0,156,0,"3,380","7,396",455.00,0,"2,721.00",933.00,"5,210","18,495.00",0,"143,409","598,692",0,"842,605",208,"142,258","143,409","153,662","549,137","41,679","143,409","143,409",0,12,"23,179",74,"22,214","54,376",0,0,0,NA,NA,NA,"142,258",0,12,"23,163",72,"22,248","54,560",0,0,0,NA,NA,NA,"9,321","1,005",0,0,"72,350",0,0,910,"71,918"
2014Q3,"CNB Bank Shares, Inc.",1021757,46,0,46,0,0,0,0,70,0,0,4,0,0,0,0,0,0,0,1,0,1,0,0,0,16,1,0,0,1,0,0,0,0,0,0,0,"68,538","2,082","70,620","9,925","33,385","35,881","110,042","83,781",519,"12,803","1,198","357,091",0,"68,660",0,"1,630","6,586","1,183.00",0,"3,360.00",561.00,"5,540","29,103.00",0,"162,893","525,163",0,"779,523",0,"161,393","162,893","80,545","357,091","83,781","162,893","162,893",0,"1,048","24,624","13,807","30,947","26,952",0,194,0,NA,NA,NA,"161,393",0,"1,066","25,186","13,572","30,457","26,669",0,190,0,NA,NA,NA,"5,992",951,0,0,"65,076",201,0,0,"58,183"
2014Q3,CNB Corporation,1020003,33,1,34,0,94,0,214,208,0,4,412,0,0,0,0,0,0,0,7,9,16,7,138,0,0,74,0,3,170,0,0,0,0,0,0,0,"132,762","9,917","142,679","9,594","42,670","1,923","126,166","42,434","4,577","45,710",0,"335,547",0,"3,256",0,"8,070","7,004","1,428.00",0,"3,622.00",762.00,"5,826","40,859.00","15,000","469,208","435,017",0,"1,009,127",0,"348,506","349,157","152,273","335,547","42,434","469,208","349,157",0,0,"305,012",0,"13,121",0,0,0,0,NA,NA,NA,"348,506",0,0,"305,202",0,"13,046",0,0,0,0,NA,NA,NA,"9,215","4,623",0,0,"97,249",0,0,0,"96,870"
2014Q3,CNB Financial Corporation,100790,21,0,21,0,0,0,1,168,0,16,485,0,0,0,0,0,0,0,19,0,19,0,0,0,0,1,0,4,46,0,0,0,0,0,0,0,"386,814","37,294","424,108","65,135","28,110","60,333","395,164","206,992","19,937","68,814",0,"992,664",0,"2,298",0,"56,932","18,444","3,451.00",-59,"6,562.00","1,695.00","13,150","3,421.00",541,"699,548","1,327,700","4,440","2,173,009",41,"698,377","699,548","489,243","992,664","206,992","699,548","699,548",0,"64,803","164,771","5,111","30,907","209,073",0,"26,560",0,NA,NA,NA,"698,377",0,"65,524","165,427","4,885","30,526","211,989",0,"26,768",0,NA,NA,NA,"17,843","7,361",0,0,"181,617",93,0,"2,371","156,344"
2014Q3,"CNLBancshares, Inc.",1984124,-26,0,-26,0,257,0,267,0,0,0,0,0,0,0,0,0,10,0,11,0,11,4,"1,274",0,188,5,0,0,0,0,0,0,0,0,0,0,"103,525",867,"104,392","29,123","80,581","31,885","392,944","107,684","7,870","10,629",0,"638,925",0,0,0,"9,717","9,741",782.00,-24,"4,556.00","1,485.00","8,094","69,505.00","3,195","380,230","766,955","22,488","1,302,739",100,"377,438","380,230","133,515","638,925","107,684","380,230","380,230",0,"7,706",0,"72,707","15,306","23,022",0,0,761,NA,NA,NA,"377,438",0,"7,710",0,"71,579","14,854","22,585",0,0,730,NA,NA,NA,"14,283","40,056","36,675",0,"115,400",0,0,0,"47,201"
2014Q3,"Coastal Affiliates, MHC",4155244,0,0,0,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,"409,530","12,592","422,122","47,844","28,893","7,941","112,713","29,429",410,"1,317",0,"619,513",0,0,0,0,"5,504",736.00,0,"2,940.00",740.00,"4,985","3,306.00",1,"53,977","650,259",0,"757,545",7,"51,631","53,977","469,966","619,513","29,429","53,977","53,977",0,"1,478","6,338","4,365","23,327","1,160",0,0,0,NA,NA,NA,"51,631",0,"1,469","6,357","4,276","23,117","1,130",0,0,0,NA,NA,NA,"6,619","2,025",0,0,"73,680",0,0,0,"72,271"
2014Q3,CoBiz Financial Inc.,1017371,0,-12,-12,2,-1,0,0,227,0,0,0,3,0,0,0,0,0,3,0,-11,-11,2,304,0,3,134,0,0,0,0,0,0,0,0,0,2,"206,950","19,388","226,338","45,488","184,919","45,239","869,244","690,528","5,793","9,546","44,546","1,371,495",0,0,0,"240,954","27,357","10,045.00",3,"17,544.00","3,077.00","25,642","34,500.00",0,"486,757","2,357,069","5,187","3,028,864",-6,"461,300","473,446","271,826","1,371,495","690,528","486,757","473,446",0,0,0,"21,846","274,917",0,0,0,0,NA,NA,NA,"461,300",0,0,0,"21,015","268,402",0,0,0,0,NA,NA,NA,"33,682","20,664",0,0,"302,730",0,144,"1,626","237,814"
2014Q3,"Coconut Grove Bankshares, Inc.",4055927,8,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,161,1,162,6,14,0,92,3,0,0,0,0,0,0,0,0,0,0,"35,947",179,"36,126","17,751","3,028","10,703","132,348","9,485",871,"1,650",0,"201,303",0,0,0,61,"3,160",990.00,0,"2,263.00",544.00,"3,968","118,306.00",0,"226,075","212,499",0,"609,906",0,"206,273","207,272","53,877","201,303","9,485","226,075","207,272","118,762","5,394","29,506","40,205",0,"1,091",0,0,0,NA,NA,NA,"206,273","118,843","5,477","29,526","39,509",0,"1,033",0,0,0,NA,NA,NA,"7,218","3,623",0,0,"98,043",81,0,-860,"97,420"
2014Q3,"Codorus Valley Bancorp, Inc.",100767,15,1,16,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,4,4,5,0,0,0,3,0,0,6,0,0,0,0,0,0,0,"98,455","16,806","115,261","88,647","84,661","22,959","390,331","105,308","2,711","8,571",0,"743,778",0,"3,250",0,"31,738","10,646","2,044.00",0,"4,436.00",993.00,"8,030","21,433.00",0,"228,803","892,645",0,"1,203,640",146,"225,020","228,803","203,908","743,778","105,308","228,803","228,803",0,0,"29,500","12,588","109,741","3,726",0,0,0,NA,NA,NA,"225,020",0,0,"29,211","12,214","108,774","3,612",0,0,0,NA,NA,NA,"10,713","5,059",0,0,"115,856",0,30,687,"101,360"
2014Q3,"ColoEast Bankshares, Inc.",1024155,0,0,0,0,0,0,"1,081",122,0,0,28,0,0,0,0,8,0,0,1,0,1,0,-1,0,3,16,0,0,12,0,0,0,0,2,0,0,"31,952",318,"32,270","3,638","46,297","4,563","100,997","49,165",311,"7,126","1,634","278,971",0,"78,706",0,364,"5,912","1,120.00",0,"3,634.00",713.00,"6,214","35,607.00",0,"211,895","415,966",0,"741,789",0,"210,545","211,895","35,908","278,971","49,165","211,895","211,895",0,0,"154,944",7,"4,589",0,0,0,0,NA,NA,NA,"210,545",0,0,"155,222",6,"4,646",0,0,0,0,NA,NA,NA,"9,832","4,674","4,263",0,"71,933",0,0,0,"45,501"
2014Q3,"Colonial Financial Services, Inc.",4086904,270,0,270,0,0,0,61,101,0,0,0,0,0,0,0,0,0,0,3,30,33,0,0,0,3,7,0,0,0,0,0,0,0,0,0,0,"165,592","7,085","172,677","5,566","5,819","4,154","63,414","20,421",286,"2,034",0,"253,120",0,855,0,0,"3,130",151.00,0,"1,404.00",393.00,"3,429","6,154.00",0,"235,393","276,430",0,"552,709",4,"237,718","235,393","178,243","253,120","20,421","235,393","235,393",0,"15,242","95,246","15,159","42,255","59,279",0,43,0,NA,NA,NA,"237,718",0,"15,278","97,300","15,087","41,535","60,459",0,41,0,NA,NA,NA,"4,417","5,135",NA,0,"62,811",0,0,0,NA
2014Q3,"Colony Bankcorp, Inc.",100882,84,0,84,0,"1,071",0,8,80,0,0,102,0,0,0,0,0,0,0,2,1,3,0,48,6,60,11,0,0,13,0,20,0,0,1,0,1,"193,286","7,215","200,501","3,812","60,155","28,092","299,406","46,481",230,"23,448",0,"642,367",0,"23,017",0,"7,614","9,738","2,052.00",0,"4,432.00","1,049.00","8,176","10,682.00","6,712","273,580","742,927",0,"1,114,414",0,"283,077","273,547","204,313","642,367","46,481","273,580","273,547",0,358,0,"17,989","3,530","238,272",0,"1,493","8,368",NA,NA,NA,"283,077",0,353,0,"18,453","3,572","247,149",0,"1,533","8,473",NA,NA,NA,"9,788","8,860","2,293",0,"96,272",0,697,0,"72,108"
2014Q3,Columbia Bank MHC,1032024,310,0,310,0,530,0,174,250,0,0,-1,0,0,0,0,0,0,0,215,1,216,0,0,0,0,153,0,0,0,0,0,0,0,0,0,0,"1,816,145","142,333","1,958,478","119,250","118,068","282,585","957,440","114,340",691,"3,075",0,"3,435,821",0,0,0,363,"28,568","4,107.00",0,"11,624.00","2,873.00","20,253","3,748.00",0,"777,269","3,553,599",0,"4,644,301",733,"781,892","777,269","2,077,728","3,435,821","114,340","777,269","777,269",0,0,0,"358,243","57,628","258,867",0,"80,462",0,NA,NA,NA,"781,892",0,0,0,"355,231","55,757","263,404",0,"80,462",0,NA,NA,NA,"57,904","1,672",NA,0,"406,934",0,0,0,NA
2014Q3,"Columbia Banking System, Inc.",100754,754,8,762,481,0,0,"3,411",427,0,0,32,0,0,0,0,0,0,98,743,28,771,328,575,0,437,492,0,0,117,0,50,0,0,1,0,36,"196,565","33,608","230,173","267,909","200,637","242,738","1,957,745","1,099,492","33,288","51,669",0,"3,059,354",0,"232,420",0,"389,233","77,201","21,774.00",0,"32,559.00","6,591.00","66,840","105,631.00",0,"1,606,265","4,832,168",0,"7,466,821",33,"1,604,500","1,606,265","498,082","3,059,354","1,099,492","1,606,265","1,606,265","20,303",0,"333,998","14,124","308,941","467,428",0,"37,593","34,382",NA,NA,NA,"1,604,500","20,903",0,"339,151","13,623","309,443","471,773",0,"38,574","34,171",NA,NA,NA,"67,871","41,358",0,0,"1,096,211",0,29,"14,742","729,201"
2014Q3,Comerica Incorporated,100206,275,455,730,"1,614",264,0,"5,782","13,330",0,0,255,0,0,0,0,0,0,"1,050",249,164,413,851,"9,182",1,"3,080","5,863",0,0,188,0,45,0,0,0,0,416,"1,932,247","89,835","2,022,082","1,565,722","2,226,299","561,632","7,503,951","27,914,847","322,758","583,180","805,078","13,934,685","42,317","37,402",0,"4,394,303","414,832","214,028.00","19,260","247,503.00","57,785.00","396,370","6,748,400.00",0,"9,468,477","47,711,812","305,217","68,949,210","-1,695","9,491,460","9,468,477","3,587,804","13,934,685","27,914,847","9,468,477","9,468,477","30,023",0,"15,025","21,246","3,250,779","5,837,945",4,0,0,NA,NA,NA,"9,491,460","29,994",0,"14,990","21,106","3,164,945","5,945,436",4,0,0,NA,NA,NA,"591,761","199,845",0,0,"7,433,452","58,999",0,"36,153","7,104,563"
2014Q3,Commerce Bancshares Corp.,1025203,0,0,0,0,0,0,0,350,0,0,33,0,0,0,0,0,0,0,0,1,1,139,0,0,0,85,0,0,5,0,0,0,0,0,0,0,"47,567","4,023","51,590","21,023","27,945","121,925","388,852","416,828",550,"84,489",0,"611,335",0,0,0,"41,845","11,946","2,696.00",0,"4,897.00","1,140.00","8,632","506,005.00",0,"72,543","1,154,497",0,"1,807,383",0,"69,422","72,543","72,613","611,335","416,828","72,543","72,543","13,141",0,0,"2,400","40,890",0,0,0,0,NA,NA,NA,"69,422","13,130",0,0,"2,127","38,064",0,0,0,0,NA,NA,NA,"9,539","5,094",0,0,"140,667",0,0,633,"126,693"
2014Q3,"Commerce Bancshares, Inc.",100184,233,50,283,184,32,0,110,495,0,"7,701","10,555",0,37,0,0,11,0,394,24,38,62,34,508,4,265,650,0,"1,802","2,668",0,4,0,0,3,0,251,"2,034,233","101,805","2,136,038","446,459","392,156","190,070","1,969,663","2,652,423","954,636","2,137,467","540,179","5,280,066",162,"136,724",0,"699,469","154,564","117,971.00","3,643","94,035.00","16,698.00","164,353","240,795.00","937,760","8,877,668","11,446,490","17,356","22,710,961",-371,"8,756,158","8,877,668","2,582,497","5,280,066","2,652,423","8,877,668","8,877,668","508,108","3,137","749,210","40,633","2,425,425","185,474",0,0,0,NA,NA,NA,"8,756,158","499,480","3,111","758,993","39,179","2,380,537","180,238",0,0,0,NA,NA,NA,"161,532","1,665",0,836,"2,285,831",51,"1,800","20,654","1,943,065"
2014Q3,"Commerce Bancshares, Inc.",1018693,0,0,0,0,0,0,0,16,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,"68,470","1,265","69,735",0,"45,731","8,728","145,991","83,266",779,"17,002","6,935","309,998",0,"75,594",0,457,"7,106","1,172.00",0,"3,361.00","1,017.00","6,383",390.00,0,"183,771","493,252",0,"741,580",-16,"182,208","183,771","69,735","309,998","83,266","183,771","183,771",0,"5,772",0,"3,954","74,403","34,786",0,0,0,NA,NA,NA,"182,208",0,"6,066",0,"3,960","75,143","35,579",0,0,0,NA,NA,NA,"5,249",0,0,0,"59,223",158,0,560,"57,194"
2014Q3,Commerce Bank and Trust Holding Company,1017238,31,0,31,0,792,0,118,2,0,49,214,0,0,0,0,0,0,104,3,0,3,13,1,0,533,94,0,11,36,0,0,0,0,0,0,59,"60,417","1,103","61,520","19,555","19,305","52,810","217,179","97,982","6,048","56,083",0,"373,026",0,4,0,"2,741","5,632","3,623.00",0,"4,519.00","1,590.00","9,479","34,749.00",0,"263,701","529,836",0,"929,602",6,"272,862","263,701","81,075","373,026","97,982","263,701","263,701","3,000",0,0,0,"19,157","175,757",0,"52,554",0,NA,NA,NA,"272,862","2,999",0,0,0,"19,978","182,581",0,"54,787",0,NA,NA,NA,"11,512","1,866","1,465",0,"38,434",0,0,0,"45,669"
