2014Q3,ACNB Corporation,100603,362,0,362,0,0,0,0,0,0,0,5,0,0,0,0,0,0,31,50,1,51,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,"322,934","30,756","353,690","54,002","14,184","33,955","208,190","36,768","4,745","15,429",0,"686,489",0,"1,284",0,"27,853","8,465","2,928.00",0,"4,776.00","1,201.00","7,979","9,670.00",0,"197,471","767,823",0,"1,067,531",2,"118,040","122,064","407,692","686,489","36,768","197,471","122,064",0,0,"19,406","1,197","50,048",638,0,0,0,NA,NA,NA,"118,040",0,0,"19,007","1,145","47,988",629,0,0,0,NA,NA,NA,"15,421",798,0,0,"111,708",0,0,"1,141","103,818"
2014Q3,"Adam Bank Group, Inc.",4141816,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"88,148","7,066","95,214","20,736","129,567","33,767","500,510","74,017",461,"1,951",0,"781,881",0,"2,522",0,0,"11,561",828.00,0,"3,834.00","1,945.00","8,324","16,437.00",75,"76,899","860,371",0,"1,042,053",0,"75,287","76,899","115,950","781,881","74,017","76,899","76,899",0,0,0,"14,948","25,570","29,056",0,0,0,NA,NA,NA,"75,287",0,0,0,"14,572","24,284","28,848",0,0,0,NA,NA,NA,"9,995","9,359","1,050",125,"168,457",0,0,0,"156,925"
2014Q3,"Adbanc, Inc.",1017120,0,3,3,0,0,0,0,40,0,0,9,0,0,0,0,0,0,40,0,0,0,0,250,0,0,1,0,0,0,0,0,0,0,0,0,1,"70,333","3,658","73,991","2,976","11,847","8,458","121,843","72,298","1,687","13,461",0,"317,743","1,412","127,497",0,"12,806","6,903","1,504.00",0,"2,772.00",638.00,"5,526",98.00,0,"55,811","545,217",0,"640,225",0,0,0,"76,967","317,743","72,298","55,811",0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,"6,808",286,0,1,"89,790",0,54,0,"67,385"
2014Q3,"Adirondack Bancorp, Inc.",4041567,24,29,53,0,0,0,0,0,0,0,31,0,0,0,0,0,0,9,1,5,6,0,0,0,0,16,0,0,28,0,0,0,0,0,0,4,"130,783","11,601","142,384","46,578","2,279","12,484","109,976","94,475","1,605","11,758",0,"313,701",0,0,0,0,"5,240","1,372.00",0,"2,635.00",911.00,"4,957",0.00,"1,107","205,705","419,934",0,"676,550",0,"193,525","195,571","188,962","313,701","94,475","205,705","195,571",0,"93,644","17,248","2,435","5,029","4,456",0,"28,689","2,508",NA,NA,NA,"193,525",0,"92,235","17,284","2,472","4,855","4,368",0,"28,910","2,508",NA,NA,NA,"3,026",0,0,227,"43,814",0,76,0,"40,187"
2014Q3,"AFNB Holdings, Inc.",4149468,0,0,0,0,62,0,178,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,24,0,0,0,0,0,0,0,0,0,0,"39,600",166,"39,766","3,191","61,059","61,132","631,134","93,367",0,"3,733",0,"798,415",0,0,0,129,"10,740",602.00,0,"3,653.00","1,022.00","6,335","71,981.00","2,808","40,627","895,644",0,"1,061,945",0,"38,824","40,627","42,957","798,415","93,367","40,627","40,627",0,0,0,0,"17,898",0,0,0,0,NA,NA,NA,"38,824",0,0,0,0,"17,795",0,0,0,0,NA,NA,NA,"12,080",0,0,0,"140,792",0,0,0,"139,620"
2014Q3,Albank Corporation,1021491,264,0,264,0,0,160,958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2,1,16,0,0,0,0,0,0,0,0,0,0,"18,441",903,"19,344","6,928","9,518","65,200","184,603","28,035",0,"1,753","3,273","285,726",0,0,0,224,"3,650",183.00,0,"1,385.00",309.00,"2,060","85,165.00",0,"101,477","319,011",0,"532,314",0,"100,880","101,477","26,272","285,726","28,035","101,477","101,477",0,0,"31,089",0,0,0,0,0,0,NA,NA,NA,"100,880",0,0,"31,205",0,0,0,0,0,0,NA,NA,NA,"3,242","2,072",0,0,"82,894",0,0,263,"79,500"
2014Q3,Alerus Financial Corporation,1023992,0,37,37,18,0,0,79,27,0,0,35,0,0,0,0,0,0,111,1,23,24,18,49,8,82,18,0,0,71,0,0,0,0,18,0,6,"176,929","38,816","215,745","111,185","24,865","25,431","235,439","347,846","14,380","76,239",0,"624,290",0,"40,790",0,"6,696","14,042","19,779.00",13,"16,004.00","1,731.00","25,619","10,796.00",0,"207,593","1,095,861","2,818","1,499,836","1,025","206,132","207,593","326,930","624,290","347,846","207,593","207,593",0,0,"87,711","11,556","49,019","23,831",254,963,0,NA,NA,NA,"206,132",0,0,"90,066","11,503","46,764","23,237",232,935,0,NA,NA,NA,"16,892","14,163",0,0,"167,816",0,50,"1,392","135,468"
2014Q3,"AliKat Investments, Inc.",1974171,0,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,17,0,155,0,4,14,0,0,0,0,0,0,0,0,0,0,"24,529",364,"24,893","4,917","3,218","17,137","91,087","21,433",104,351,0,"146,854",0,0,0,764,"2,201","1,795.00",0,782.00,209.00,"1,885","41,368.00","3,827","6,924","169,402",0,"257,922",0,"1,028","1,000","29,810","146,854","21,433","6,924","1,000",0,0,0,0,0,0,0,0,0,NA,NA,NA,"1,028",0,0,0,0,0,0,0,0,0,NA,NA,NA,"5,047","10,812","9,225",0,"38,547",0,0,0,"29,322"
2014Q3,"Allegiance Bancshares, Inc.",4222469,0,0,0,0,0,0,0,479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,"115,139","5,475","120,614","5,863","154,499","29,489","400,851","209,930",100,"10,281",0,"713,763",0,"2,653",0,"29,521","12,123",728.00,0,"5,022.00","1,175.00","8,798","74,864.00",0,"88,914","966,148",0,"1,239,294",0,"88,261","88,914","126,477","713,763","209,930","88,914","88,914","1,896","4,087","10,208","9,230","24,549","2,640",0,0,0,NA,NA,NA,"88,261","1,859","4,109","9,953","9,328","24,363","2,696",0,0,0,NA,NA,NA,"7,740","3,035",0,0,"118,390",0,0,0,"104,993"
2014Q3,"Alliance Bancshares, Inc.",1024100,0,0,0,0,20,0,0,20,0,14,58,0,0,0,0,0,0,0,9,0,9,0,0,0,0,1,0,3,21,0,0,0,0,0,0,0,"44,765","1,106","45,871",0,"26,051","7,124","89,647","48,302",335,"10,132",391,"192,930",0,"13,907",0,"14,024","4,424","2,222.00",0,"2,755.00",802.00,"4,962","2,975.00","4,000","292,512","279,686",0,"626,861",-10,"293,113","291,182","45,871","192,930","48,302","292,512","291,182",0,0,"6,751","7,219","174,011","49,950",0,"6,846","21,214",NA,NA,NA,"293,113",0,0,"6,860","7,323","175,534","49,862",0,"7,057","21,622",NA,NA,NA,"5,574",0,0,0,"46,444",0,0,576,"45,018"
